rule,T,projects_assessed,share_projects,share_MW,share_energy,share_CO2,share_water
IT load >= T MW,0.5,288.0,1.0,1.0,1.0,1.0,1.0
IT >= T MW OR water >= 300 m3/day,0.5,288.0,1.0,1.0,1.0,1.0,1.0
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,0.5,288.0,1.0,1.0,1.0,1.0,1.0
IT load >= T MW,1.0,283.0,0.9826388888888888,0.9995033892852235,0.9994715994308268,0.9994438093245219,0.9995563739190005
IT >= T MW OR water >= 300 m3/day,1.0,283.0,0.9826388888888888,0.9995033892852235,0.9994715994308268,0.9994438093245219,0.9995563739190005
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,1.0,283.0,0.9826388888888888,0.9995033892852235,0.9994715994308268,0.9994438093245219,0.9995563739190005
IT load >= T MW,2.0,268.0,0.9305555555555556,0.9964731482631152,0.996033343276397,0.9960636498299191,0.9979436751940952
IT >= T MW OR water >= 300 m3/day,2.0,268.0,0.9305555555555556,0.9964731482631152,0.996033343276397,0.9960636498299191,0.9979436751940952
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,2.0,270.0,0.9375,0.996846540126742,0.9964614891018184,0.99656082244113,0.9980466943967965
IT load >= T MW,3.0,256.0,0.8888888888888888,0.9925250733684091,0.9916964923535577,0.992282491324436,0.9956938904492963
IT >= T MW OR water >= 300 m3/day,3.0,256.0,0.8888888888888888,0.9925250733684091,0.9916964923535577,0.992282491324436,0.9956938904492963
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,3.0,259.0,0.8993055555555556,0.9931991536651298,0.9924667500968232,0.9930662215315729,0.9958800477045281
IT load >= T MW,5.0,238.0,0.8263888888888888,0.9836455825612234,0.9821647226062907,0.9829356111967089,0.9897478354131535
IT >= T MW OR water >= 300 m3/day,5.0,238.0,0.8263888888888888,0.9836455825612234,0.9821647226062907,0.9829356111967089,0.9897478354131535
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,5.0,244.0,0.8472222222222222,0.9859183232495407,0.9845548095393833,0.9854597775101634,0.9913784047402533
IT load >= T MW,7.5,217.0,0.7534722222222222,0.9671405822728958,0.9647947452966211,0.966024774763768,0.9813065844592619
IT >= T MW OR water >= 300 m3/day,7.5,217.0,0.7534722222222222,0.9671405822728958,0.9647947452966211,0.966024774763768,0.9813065844592619
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,7.5,227.0,0.7881944444444444,0.9726113486695958,0.970590676677682,0.9717009887524777,0.986012260290965
IT load >= T MW,10.0,193.0,0.6701388888888888,0.9399419927794886,0.9357411730170255,0.937615836983422,0.958796533979217
IT >= T MW OR water >= 300 m3/day,10.0,194.0,0.6736111111111112,0.9410385404181547,0.9366412816539108,0.9387146514305411,0.9611495259451095
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,10.0,210.0,0.7291666666666666,0.9535242241835261,0.9495878929821366,0.9514287024985789,0.9733703855670831
IT load >= T MW,15.0,157.0,0.5451388888888888,0.882157567871963,0.8750809690319361,0.8730004381083762,0.9149007999671183
IT >= T MW OR water >= 300 m3/day,15.0,169.0,0.5868055555555556,0.900865888887161,0.8930738625110329,0.8918850108626493,0.947563785215101
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,15.0,181.0,0.6284722222222222,0.907408633762181,0.9003296277995345,0.8998076190605522,0.9428826117034264
IT load >= T MW,20.0,121.0,0.4201388888888889,0.8019275344008473,0.7943680693534902,0.7880509472198959,0.8353143057742204
IT >= T MW OR water >= 300 m3/day,20.0,150.0,0.5208333333333334,0.8592422278212904,0.8489006017219721,0.8441981373920938,0.9349541312679884
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,20.0,160.0,0.5555555555555556,0.8610925574410305,0.853655560046391,0.8493691924041404,0.9080905601519982
IT load >= T MW,30.0,82.0,0.2847222222222222,0.6758758328940239,0.6716219562467605,0.6625110216237949,0.713040917126923
IT >= T MW OR water >= 300 m3/day,30.0,133.0,0.4618055555555556,0.8055255461521207,0.7913372112470826,0.7833543399961136,0.9189104848830015
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,30.0,142.0,0.4930555555555556,0.8030334589193105,0.7982939208525391,0.7940598727562878,0.8484543900611454
IT load >= T MW,40.0,58.0,0.2013888888888889,0.5675174079176167,0.5621977352100967,0.5559031160442552,0.5909945581283933
IT >= T MW OR water >= 300 m3/day,40.0,125.0,0.4340277777777778,0.7693771329511668,0.751784906739897,0.7464702827933751,0.9091148517124747
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,40.0,130.0,0.4513888888888889,0.7491143424603405,0.742322855434725,0.7324163948201029,0.7756152607175716
IT load >= T MW,50.0,34.0,0.11805555555555555,0.4306409847632857,0.4229334229198324,0.4202345217155942,0.45389792779137866
IT >= T MW OR water >= 300 m3/day,50.0,115.0,0.3993055555555556,0.7115335806408215,0.6881247819032389,0.6893132154823769,0.8934733662052455
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,50.0,117.0,0.40625,0.6748564027087055,0.6670325784799392,0.6530872360561726,0.6901009491570361
IT load >= T MW,75.0,20.0,0.06944444444444445,0.3182207973325115,0.3134277567842219,0.31330796843663405,0.31326751833174016
IT >= T MW OR water >= 300 m3/day,75.0,114.0,0.3958333333333333,0.70455714295976,0.6803215257508571,0.682765192236818,0.8914919990537737
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,75.0,112.0,0.3888888888888889,0.6336954044288589,0.62878738179752,0.6116992956441698,0.6362090033767241
IT load >= T MW,100.0,12.0,0.041666666666666664,0.22748305656209866,0.22178547360922507,0.2254135268128064,0.22904076310407073
IT >= T MW OR water >= 300 m3/day,100.0,114.0,0.3958333333333333,0.70455714295976,0.6803215257508571,0.682765192236818,0.8914919990537737
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,100.0,108.0,0.375,0.5878085821172194,0.5828572469358723,0.5613837784419535,0.5721258648972477
IT load >= T MW,150.0,4.0,0.013888888888888888,0.11308278049647756,0.11238782405289996,0.11608256656848578,0.1036095169141891
IT >= T MW OR water >= 300 m3/day,150.0,114.0,0.3958333333333333,0.70455714295976,0.6803215257508571,0.682765192236818,0.8914919990537737
IT >= T MW OR (stressed basin & water>=100) OR flood>=1 m,150.0,104.0,0.3611111111111111,0.5286962264196813,0.529172812254445,0.5059481121261766,0.4729942513745658
